Semaine,Other,SRM,SRV,Wild
2024-01-01/2024-01-07,1,58,0,23
2024-01-08/2024-01-14,3,46,2,27
2024-01-15/2024-01-21,5,63,0,45
2024-01-22/2024-01-28,3,53,0,45
2024-01-29/2024-02-04,6,57,0,38
2024-02-05/2024-02-11,7,65,0,31
2024-02-12/2024-02-18,5,43,0,38
2024-02-19/2024-02-25,7,48,0,35
2024-02-26/2024-03-03,2,60,0,29
2024-03-04/2024-03-10,7,54,1,48
2024-03-11/2024-03-17,2,39,0,33
2024-03-18/2024-03-24,2,52,0,23
2024-03-25/2024-03-31,5,48,0,44
2024-04-01/2024-04-07,5,50,0,39
2024-04-08/2024-04-14,10,49,0,30
2024-04-15/2024-04-21,4,55,0,31
2024-04-22/2024-04-28,6,40,0,31
2024-04-29/2024-05-05,1,53,0,43
2024-05-06/2024-05-12,4,70,0,46
2024-05-13/2024-05-19,5,44,0,22
2024-05-20/2024-05-26,4,47,1,41
2024-05-27/2024-06-02,7,52,0,51
2024-06-03/2024-06-09,2,65,0,34
2024-06-10/2024-06-16,4,45,0,27
2024-06-17/2024-06-23,6,65,0,32
2024-06-24/2024-06-30,5,62,0,29
2024-07-01/2024-07-07,3,52,0,30
2024-07-08/2024-07-14,3,40,0,29
2024-07-15/2024-07-21,5,49,0,37
2024-07-22/2024-07-28,2,60,1,25
2024-07-29/2024-08-04,0,62,0,29
2024-08-05/2024-08-11,1,65,0,30
2024-08-12/2024-08-18,2,61,0,41
2024-08-19/2024-08-25,4,78,1,32
2024-08-26/2024-09-01,1,72,0,20
2024-09-02/2024-09-08,5,48,0,27
2024-09-09/2024-09-15,2,39,0,23
2024-09-16/2024-09-22,4,64,0,39
2024-09-23/2024-09-29,2,68,0,44
2024-09-30/2024-10-06,5,56,1,32
2024-10-07/2024-10-13,8,53,0,44
2024-10-14/2024-10-20,4,56,0,34
2024-10-21/2024-10-27,4,57,0,31
2024-10-28/2024-11-03,5,70,1,51
2024-11-04/2024-11-10,3,48,0,39
2024-11-11/2024-11-17,5,63,0,27
2024-11-18/2024-11-24,7,46,0,37
2024-11-25/2024-12-01,7,79,0,58
2024-12-02/2024-12-08,2,66,0,37
2024-12-09/2024-12-15,2,53,0,34
2024-12-16/2024-12-22,6,63,0,33
2024-12-23/2024-12-29,8,45,0,24
2024-12-30/2025-01-05,0,19,0,6
