Semaine,Antibiotique,Total,R,%R,Alerte
2024-01-01/2024-01-07,Vancomycin,79,1.0,1.27,False
2024-01-08/2024-01-14,Vancomycin,77,4.0,5.19,True
2024-01-15/2024-01-21,Vancomycin,112,1.0,0.89,False
2024-01-22/2024-01-28,Vancomycin,101,1.0,0.99,False
2024-01-29/2024-02-04,Vancomycin,99,0.0,0.0,False
2024-02-05/2024-02-11,Vancomycin,103,2.0,1.94,False
2024-02-12/2024-02-18,Vancomycin,84,0.0,0.0,False
2024-02-19/2024-02-25,Vancomycin,90,0.0,0.0,False
2024-02-26/2024-03-03,Vancomycin,91,0.0,0.0,False
2024-03-04/2024-03-10,Vancomycin,108,2.0,1.85,False
2024-03-11/2024-03-17,Vancomycin,73,1.0,1.37,False
2024-03-18/2024-03-24,Vancomycin,77,0.0,0.0,False
2024-03-25/2024-03-31,Vancomycin,94,1.0,1.06,False
2024-04-01/2024-04-07,Vancomycin,92,0.0,0.0,False
2024-04-08/2024-04-14,Vancomycin,88,0.0,0.0,False
2024-04-15/2024-04-21,Vancomycin,88,2.0,2.27,False
2024-04-22/2024-04-28,Vancomycin,76,0.0,0.0,False
2024-04-29/2024-05-05,Vancomycin,96,0.0,0.0,False
2024-05-06/2024-05-12,Vancomycin,117,0.0,0.0,False
2024-05-13/2024-05-19,Vancomycin,69,0.0,0.0,False
2024-05-20/2024-05-26,Vancomycin,88,1.0,1.14,False
2024-05-27/2024-06-02,Vancomycin,106,0.0,0.0,False
2024-06-03/2024-06-09,Vancomycin,96,1.0,1.04,False
2024-06-10/2024-06-16,Vancomycin,74,0.0,0.0,False
2024-06-17/2024-06-23,Vancomycin,102,0.0,0.0,False
2024-06-24/2024-06-30,Vancomycin,93,1.0,1.08,False
2024-07-01/2024-07-07,Vancomycin,81,2.0,2.47,False
2024-07-08/2024-07-14,Vancomycin,71,0.0,0.0,False
2024-07-15/2024-07-21,Vancomycin,89,0.0,0.0,False
2024-07-22/2024-07-28,Vancomycin,85,3.0,3.53,True
2024-07-29/2024-08-04,Vancomycin,91,1.0,1.1,False
2024-08-05/2024-08-11,Vancomycin,91,1.0,1.1,False
2024-08-12/2024-08-18,Vancomycin,101,1.0,0.99,False
2024-08-19/2024-08-25,Vancomycin,113,3.0,2.65,False
2024-08-26/2024-09-01,Vancomycin,92,3.0,3.26,False
2024-09-02/2024-09-08,Vancomycin,78,0.0,0.0,False
2024-09-09/2024-09-15,Vancomycin,61,1.0,1.64,False
2024-09-16/2024-09-22,Vancomycin,107,1.0,0.93,False
